firstname,phone,notes
Lucas,5559871234,Called and left a voicemail
Grace,6661237890,Interested in subscription plan
Henry,4447891230,Requested product demo next week
Zoe,3335557777,No answer, will try again
Ethan,2224446666,Sent contract via email
Lily,9990001112,Meeting scheduled for Thursday
Jack,8883332222,Asked for pricing details
Chloe,7774445555,Requested callback today
Oliver,1119998888,Interested in enterprise solution
Ella,5556669999,Follow-up call completed
James,3332224444,Waiting for final approval
Mia,6667773333,Left message, no response
Benjamin,4445552222,Confirmed training session attendance
Sofia,2221114444,Sent invoice, payment received
Mason,7778884444,Requested feature demo
Ava,1112225555,Asked for discount info
Logan,9998887777,Follow-up email sent
Isabella,6665553333,Requested free trial
Noah,3334441111,No response after 2 calls
Emma,5557778888,Interested in renewal options
Caleb,2223335555,Sent product brochure
Madison,8881112222,Requested callback next week
Daniel,4446669999,Interested in partnership
Harper,7771113333,Left message, waiting for reply
Elijah,9992224444,Meeting rescheduled to Friday
Ella,3335552222,Asked for additional info
Samuel,5559998888,Confirmed order details
Aria,6663337777,Requested discount details
Owen,2225551111,Sent demo video
Mila,8887776666,Follow-up scheduled for tomorrow
Sebastian,4448883333,Requested contract copy
Victoria,1114445555,No answer, will call later
