firstname,phone,notes
John,1234567890,Called and left a voicemail
Alice,9876543210,Interested in product demo
Bob,5551234567,Requested follow-up next week
Eve,4445556666,No answer, will try again
Mia,3332221111,Sent pricing details via email
David,2223334444,Meeting scheduled for Monday
Sophia,9998887777,Asked for product brochure
James,7776665555,Requested callback tomorrow
Olivia,1112223333,Interested in bulk order
Liam,4447778888,Follow-up call done
Emma,6665554444,Waiting for contract approval
Noah,5556667777,Left message, no response
Ava,8889990000,Confirmed demo attendance
William,2221113333,Sent invoice, pending payment
Isabella,3334445555,Requested customization options
Mason,7778889999,Interested in partnership
Mia,1113335555,Asked for discount details
Ethan,9990001111,Follow-up email sent
Amelia,4445556666,Requested product samples
Logan,6667778888,No response after 3 calls
Logan,6667778888,No response after 3 calls
